id,code,area
1,us-al,
2,us-az,
3,us-ar,
4,us-ca,
5,us-co,
6,us-ct,
7,us-de,
8,us-fl,
9,us-ga,
10,us-id,
11,us-il,
12,us-in,
13,us-ia,
14,us-ks,
15,us-ky,
16,us-la,
17,us-me,
18,us-md,
19,us-ma,
20,us-mi,
21,us-mn,
22,us-ms,
23,us-mo,
24,us-mt,
25,us-ne,
26,us-nv,
27,us-nh,
28,us-nj,
29,us-nm,
30,us-ny,
31,us-nc,
32,us-nd,
33,us-oh,
34,us-ok,
35,us-or,
36,us-pa,
37,us-ri,
38,us-sc,
39,us-sd,
40,us-tn,
41,us-tx,
42,us-ut,
43,us-vt,
44,us-va,
45,us-wa,
46,us-wv,
47,us-wi,
48,us-wy,
51,al,27400
56,dz,2381740
54,af,652090
57,ao,1246700
58,ar,2736690
59,am,28200
60,au,7682300
61,az,82600
62,bs,13870
63,bd,130170
64,be,30520
65,bz,22810
66,by,207480
67,bj,110620
68,bt,47000
69,bo,1084380
70,ba,51200
71,bw,566730
72,br,8459420
73,bn,5270
74,bg,110630
75,bf,273600
76,bi,25680
77,td,1259200
78,me,13810
79,cz,77270
80,cn,9327430
81,dk,42430
82,cd,2267050
83,do,48380
84,dj,23180
85,eg,995450
86,ec,276840
87,er,101000
88,ee,42390
89,et,1000000
90,fk,12170
91,fj,18270
92,ph,298170
93,fi,304590
94,fr,550100
95,tf,439780
96,ga,257670
97,gm,11290
98,gh,227540
99,gl,410450
100,ge,69490
101,gt,108430
102,gn,245720
103,gw,28120
104,gy,196850
105,ht,27560
106,hn,111890
107,cl,748800
108,hr,55920
109,in,2973190
110,id,1811570
111,iq,437370
112,ir,1636200
113,ie,68890
114,is,100250
115,it,294110
116,il,21710
117,jm,10830
118,jp,364500
119,ye,527970
120,za,1214470
121,kr,100030
122,ss,619740
123,jo,88240
124,kh,176520
125,cm,465400
126,ca,9093510
127,qa,11000
128,kz,2699700
129,ke,569140
130,co,1038700
131,cg,341500
132,cr,51060
133,cu,109820
134,kw,17820
135,cy,9240
136,kg,191800
137,la,230800
138,ls,30350
139,lb,10230
140,lr,96320
141,ly,1759540
142,lt,62680
143,lv,62050
144,lu,2580
145,mg,581540
146,hu,92100
147,mk,25430
148,my,328550
149,mw,94080
150,ml,1220190
151,ma,446300
152,mr,1025220
153,mx,1908690
154,md,32880
155,mn,1566500
156,mz,784090
157,mm,657550
158,na,823290
159,de,348950
160,np,143000
161,ne,1266700
162,ng,910770
163,ni,121400
164,nl,33880
165,no,306250
166,nc,18280
167,nz,267990
168,om,309500
169,pk,770880
170,ps,6220
171,pa,74430
172,pg,452860
173,py,397300
174,pe,1280000
175,ci,318000
176,pl,306290
177,pr,8870
178,pt,91500
179,at,82450
180,gq,28050
181,ro,229870
182,ru,16380940
183,rw,24670
184,gr,128900
185,sv,20720
186,sa,2149690
187,sn,192530
188,kp,120540
189,sl,71620
190,sk,48080
191,si,20140
192,so,627340
193,ae,83600
194,gb,241930
195,us,9158960
196,rs,88360
197,cf,622980
198,sd,2376000
199,sr,156000
200,sz,17200
201,sy,183780
202,sb,27990
203,es,499040
204,lk,64630
205,se,410330
206,ch,40000
207,tj,139960
208,tz,945200
209,th,510890
210,tw,35880
211,tg,54390
212,tn,155360
213,tr,769630
214,tm,469930
215,ug,197100
216,ua,579350
